with_zx,span,comp_state,prefix,time,data,mrt_file,status
0,0,none,65.48.180.0/24,5.471,9991292,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,65.48.180.0/24,1.021,1043214,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,65.48.180.0/24,0.529,267995,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,66.152.112.0/24,6.487,10354740,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,66.152.112.0/24,1.273,1369923,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,66.152.112.0/24,0.428,243379,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,67.229.86.0/24,5.705,10699364,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,67.229.86.0/24,1.399,1715995,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,67.229.86.0/24,0.405,244827,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,69.167.112.0/24,6.211,11094668,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,69.167.112.0/24,1.612,2143155,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,69.167.112.0/24,0.592,382388,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,72.246.118.0/24,3.634,11584092,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,72.246.118.0/24,1.524,2444339,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,72.246.118.0/24,0.427,246276,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,77.77.24.0/24,6.565,11791156,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,77.77.24.0/24,0.676,460580,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,77.77.24.0/24,0.736,146364,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,79.177.190.0/24,5.778,12028628,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,79.177.190.0/24,1.007,797964,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,79.177.190.0/24,0.451,246276,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,82.144.75.0/24,6.468,12434068,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,82.144.75.0/24,1.291,1256980,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,82.144.75.0/24,0.542,396868,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,85.196.15.0/24,8.026,12800412,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,85.196.15.0/24,1.444,1833284,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,85.196.15.0/24,0.557,314332,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,89.42.48.0/24,5.812,13518620,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,89.42.48.0/24,1.714,2283612,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,89.42.48.0/24,0.531,389628,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,91.208.36.0/24,6.007,14021076,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,91.208.36.0/24,0.657,538772,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,91.208.36.0/24,0.018,0,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,92.45.97.0/24,5.805,14218004,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,92.45.97.0/24,1.080,1044124,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,92.45.97.0/24,0.732,437412,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,94.79.111.0/24,6.371,14788516,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,94.79.111.0/24,1.291,1436532,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,94.79.111.0/24,0.593,385284,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,95.187.137.0/24,5.884,15321380,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,95.187.137.0/24,1.575,1828940,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,95.187.137.0/24,0.450,246276,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,103.4.190.0/24,6.184,15634148,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,103.4.190.0/24,1.523,2170668,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,103.4.190.0/24,0.529,393972,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,103.47.92.0/24,6.160,16026556,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,103.47.92.0/24,0.537,298404,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,103.47.92.0/24,0.687,421484,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,103.89.251.0/24,6.442,16458060,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,103.89.251.0/24,0.871,732804,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,103.89.251.0/24,0.530,309414,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,103.224.243.0/24,6.278,16891012,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,103.224.243.0/24,1.077,1175892,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,103.224.243.0/24,0.731,424380,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,104.141.0.0/16,6.204,17267492,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,104.141.0.0/16,0.550,388180,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,104.141.0.0/16,0.999,288268,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,107.167.11.0/24,6.179,17659900,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,107.167.11.0/24,0.774,744388,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,107.167.11.0/24,0.547,278132,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,109.239.195.0/24,7.107,17852484,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,109.239.195.0/24,1.030,1070188,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,109.239.195.0/24,0.555,375148,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,112.76.163.0/24,6.905,18060996,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,112.76.163.0/24,1.149,1309108,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,112.76.163.0/24,0.559,373700,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,115.112.251.0/24,7.883,18333220,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,115.112.251.0/24,1.294,1575540,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,115.112.251.0/24,0.591,307092,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,117.240.10.0/24,5.885,18595308,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,117.240.10.0/24,1.395,1885412,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
